time,link,path,number,flag
0,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
0,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
0,N004 N009,N004 N009 N010 N011 N002,45,enter link
0,N004 N009,N004 N009 N010 N013 N003,45,enter link
1,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
1,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
1,N004 N009,N004 N009 N010 N011 N002,45,enter link
1,N004 N009,N004 N009 N010 N013 N003,45,enter link
2,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
2,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
2,N004 N009,N004 N009 N010 N011 N002,45,enter link
2,N004 N009,N004 N009 N010 N013 N003,45,enter link
3,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
3,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
3,N004 N009,N004 N009 N010 N011 N002,45,enter link
3,N004 N009,N004 N009 N010 N013 N003,45,enter link
4,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
4,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
4,N004 N009,N004 N009 N010 N011 N002,45,enter link
4,N004 N009,N004 N009 N010 N013 N003,45,enter link
5,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
5,N001 N005,N001 N005 N006 N010 N013 N003,76,enter link
5,N004 N009,N004 N009 N010 N011 N002,45,enter link
5,N004 N009,N004 N009 N010 N013 N003,45,enter link
6,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
6,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
6,N004 N009,N004 N009 N010 N011 N002,45,enter link
6,N004 N009,N004 N009 N010 N013 N003,45,enter link
7,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
7,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
7,N004 N009,N004 N009 N010 N011 N002,45,enter link
7,N004 N009,N004 N009 N010 N013 N003,45,enter link
8,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
8,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
8,N004 N009,N004 N009 N010 N011 N002,45,enter link
8,N004 N009,N004 N009 N010 N013 N003,45,enter link
9,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
9,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
9,N004 N009,N004 N009 N010 N011 N002,45,enter link
9,N004 N009,N004 N009 N010 N013 N003,45,enter link
10,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
10,N001 N005,N001 N005 N006 N010 N013 N003,76,enter link
10,N004 N009,N004 N009 N010 N011 N002,45,enter link
10,N004 N009,N004 N009 N010 N013 N003,45,enter link
11,N001 N005,N001 N005 N006 N010 N011 N002,76,enter link
11,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
11,N004 N009,N004 N009 N010 N011 N002,45,enter link
11,N004 N009,N004 N009 N010 N013 N003,45,enter link
12,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
12,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
12,N004 N009,N004 N009 N010 N011 N002,45,enter link
12,N004 N009,N004 N009 N010 N013 N003,45,enter link
13,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
13,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
13,N004 N009,N004 N009 N010 N011 N002,45,enter link
13,N004 N009,N004 N009 N010 N013 N003,45,enter link
14,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
14,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
14,N004 N009,N004 N009 N010 N011 N002,45,enter link
14,N004 N009,N004 N009 N010 N013 N003,45,enter link
15,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
15,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
15,N004 N009,N004 N009 N010 N011 N002,45,enter link
15,N004 N009,N004 N009 N010 N013 N003,45,enter link
16,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
16,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
16,N004 N009,N004 N009 N010 N011 N002,45,enter link
16,N004 N009,N004 N009 N010 N013 N003,45,enter link
17,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
17,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
17,N004 N009,N004 N009 N010 N011 N002,45,enter link
17,N004 N009,N004 N009 N010 N013 N003,45,enter link
18,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
18,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
18,N004 N009,N004 N009 N010 N011 N002,45,enter link
18,N004 N009,N004 N009 N010 N013 N003,45,enter link
19,N001 N005,N001 N005 N006 N010 N011 N002,75,enter link
19,N001 N005,N001 N005 N006 N010 N013 N003,75,enter link
19,N004 N009,N004 N009 N010 N011 N002,45,enter link
19,N004 N009,N004 N009 N010 N013 N003,45,enter link
20,N001 N005,N001 N005 N006 N010 N011 N002,198,enter link
20,N001 N005,N001 N005 N006 N010 N013 N003,198,enter link
20,N001 N012,N001 N012 N006 N010 N011 N002,136,enter link
20,N001 N012,N001 N012 N006 N010 N013 N003,136,enter link
20,N004 N009,N004 N009 N010 N011 N002,200,enter link
20,N004 N009,N004 N009 N010 N013 N003,200,enter link
21,N001 N005,N001 N005 N006 N010 N011 N002,120,enter link
21,N001 N005,N001 N005 N006 N010 N013 N003,120,enter link
21,N001 N012,N001 N012 N006 N010 N011 N002,214,enter link
21,N001 N012,N001 N012 N006 N010 N013 N003,214,enter link
21,N004 N005,N004 N005 N006 N010 N011 N002,46,enter link
21,N004 N005,N004 N005 N006 N010 N013 N003,46,enter link
21,N004 N009,N004 N009 N010 N011 N002,155,enter link
21,N004 N009,N004 N009 N010 N013 N003,155,enter link
22,N001 N005,N001 N005 N006 N010 N011 N002,112,enter link
22,N001 N005,N001 N005 N006 N010 N013 N003,112,enter link
22,N001 N012,N001 N012 N006 N010 N011 N002,222,enter link
22,N001 N012,N001 N012 N006 N010 N013 N003,222,enter link
22,N004 N005,N004 N005 N006 N010 N011 N002,65,enter link
22,N004 N005,N004 N005 N006 N010 N013 N003,65,enter link
22,N004 N009,N004 N009 N010 N011 N002,136,enter link
22,N004 N009,N004 N009 N010 N013 N003,136,enter link
23,N001 N005,N001 N005 N006 N010 N011 N002,129,enter link
23,N001 N005,N001 N005 N006 N010 N013 N003,120,enter link
23,N001 N012,N001 N012 N006 N010 N011 N002,205,enter link
23,N001 N012,N001 N012 N006 N010 N013 N003,214,enter link
23,N004 N005,N004 N005 N006 N010 N011 N002,76,enter link
23,N004 N005,N004 N005 N006 N010 N013 N003,76,enter link
23,N004 N009,N004 N009 N010 N011 N002,125,enter link
23,N004 N009,N004 N009 N010 N013 N003,125,enter link
24,N001 N005,N001 N005 N006 N010 N011 N002,158,enter link
24,N001 N005,N001 N005 N006 N010 N013 N003,147,enter link
24,N001 N012,N001 N012 N006 N010 N011 N002,176,enter link
24,N001 N012,N001 N012 N006 N010 N013 N003,188,enter link
24,N004 N005,N004 N005 N006 N010 N011 N002,69,enter link
24,N004 N005,N004 N005 N006 N010 N013 N003,69,enter link
24,N004 N009,N004 N009 N010 N011 N002,132,enter link
24,N004 N009,N004 N009 N010 N013 N003,132,enter link
25,N001 N005,N001 N005 N006 N010 N011 N002,36,enter link
25,N001 N005,N001 N005 N006 N010 N013 N003,36,enter link
25,N001 N012,N001 N012 N006 N010 N011 N002,65,enter link
25,N001 N012,N001 N012 N006 N010 N013 N003,65,enter link
25,N004 N005,N004 N005 N006 N010 N011 N002,27,enter link
25,N004 N005,N004 N005 N006 N010 N013 N003,27,enter link
25,N004 N009,N004 N009 N010 N011 N002,34,enter link
25,N004 N009,N004 N009 N010 N013 N003,34,enter link
26,N001 N005,N001 N005 N006 N010 N011 N002,45,enter link
26,N001 N005,N001 N005 N006 N010 N013 N003,45,enter link
26,N001 N012,N001 N012 N006 N010 N011 N002,56,enter link
26,N001 N012,N001 N012 N006 N010 N013 N003,56,enter link
26,N004 N005,N004 N005 N006 N010 N011 N002,22,enter link
26,N004 N005,N004 N005 N006 N010 N013 N003,22,enter link
26,N004 N009,N004 N009 N010 N011 N002,39,enter link
26,N004 N009,N004 N009 N010 N013 N003,39,enter link
27,N001 N005,N001 N005 N006 N010 N011 N002,58,enter link
27,N001 N005,N001 N005 N006 N010 N013 N003,60,enter link
27,N001 N012,N001 N012 N006 N010 N011 N002,43,enter link
27,N001 N012,N001 N012 N006 N010 N013 N003,41,enter link
27,N004 N005,N004 N005 N006 N010 N011 N002,7,enter link
27,N004 N005,N004 N005 N006 N010 N013 N003,7,enter link
27,N004 N009,N004 N009 N010 N011 N002,54,enter link
27,N004 N009,N004 N009 N010 N013 N003,54,enter link
28,N001 N005,N001 N005 N006 N010 N011 N002,63,enter link
28,N001 N005,N001 N005 N006 N010 N013 N003,67,enter link
28,N001 N012,N001 N012 N006 N010 N011 N002,38,enter link
28,N001 N012,N001 N012 N006 N010 N013 N003,34,enter link
28,N004 N005,N004 N005 N006 N010 N011 N002,7,enter link
28,N004 N005,N004 N005 N006 N010 N013 N003,7,enter link
28,N004 N009,N004 N009 N010 N011 N002,54,enter link
28,N004 N009,N004 N009 N010 N013 N003,54,enter link
29,N001 N005,N001 N005 N006 N010 N011 N002,53,enter link
29,N001 N005,N001 N005 N006 N010 N013 N003,76,enter link
29,N001 N012,N001 N012 N006 N010 N011 N002,48,enter link
29,N001 N012,N001 N012 N006 N010 N013 N003,25,enter link
29,N004 N005,N004 N005 N006 N010 N011 N002,7,enter link
29,N004 N005,N004 N005 N006 N010 N013 N003,7,enter link
29,N004 N009,N004 N009 N010 N011 N002,54,enter link
29,N004 N009,N004 N009 N010 N013 N003,54,enter link
30,N001 N005,N001 N005 N006 N010 N011 N002,52,enter link
